VIN,SERIAL_NUMBER,MODEL,FACTORY_PRODUCTION_LOCATION,ENGINE_TYPE,FUEL_TYPE,TRANSMISSION,CHASSIS_NUMBER,EMISSION_STANDARD,PRODUCTION_DATE,DELIVERY_DATE,FIRST_REGISTRATION_DATE,CURRENT_OWNER,MILEAGE,FUEL_CONSUMPTION,ACCIDENT_DATE,ACCIDENT_TYPE,REPAIR_COST,SERVICE_RECORDS,RECALL_STATUS,PREVIOUS_OWNERS,POWER_OUTPUT_KW,POWER_OUTPUT_PS
WBA00000000000020,SN170020,1 Series 120 (F70),Leipzig,"I4 turbo (B48, 170hp)",Petrol,Automatic,CH0000050020,EURO 6e-bis,2024-01-01,2024-01-17,2024-01-30,***MASKED***,149309,6.1,,,0.00,Up to date,,3,125,170
WBA00000000000016,SN160016,1 Series 120 (F70),Leipzig,"I4 turbo (B48, 170hp)",Petrol,Automatic,CH0000050016,EURO 6e-bis,2024-01-01,2024-01-22,2024-02-16,***MASKED***,184380,5.8,,,0.00,Up to date,,3,125,170
WBA00000000000271,SN160271,XM Label Red,Spartanburg,"V8 hybrid (S68+e, 748hp)",Hybrid,Automatic,CH0000050271,EURO 6e-bis,2023-01-01,2023-01-19,2023-01-24,***MASKED***,180058,6.3,,,0.00,Up to date,,2,550,748
WBAEXT00001,SN300001,3 Series 320i (G21 LCI),Munich,"I4 turbo (B48, 184hp)",Petrol,Automatic,CH6000001,EURO 6e-bis,2025-10-19,2025-11-20,2025-12-13,***MASKED***,0,7.5,,,,Up to date,,0,135,184
WBAEXT00003,SN300003,X1 xDrive23i (U11),Regensburg,"I4 turbo (B48, 218hp)",Petrol,Automatic,CH6000003,EURO 6e-bis,2025-10-27,2025-11-10,2025-11-26,***MASKED***,0,11.2,,,,Up to date,,0,160,218
WBAEXT00004,SN300004,X3 xDrive30i (G45),Spartanburg,"I4 turbo (B48, 245hp)",Petrol,Automatic,CH6000004,EURO 6e-bis,2025-11-03,2025-12-17,2025-11-21,***MASKED***,0,8.3,,,,Up to date,,0,180,245
WBAEXT00006,SN300006,X7 xDrive40d (G07 LCI),Spartanburg,"I6 turbo diesel (B57, 352hp)",Diesel,Automatic,CH6000006,EURO 6e-bis,2025-12-12,2025-12-24,2025-12-31,***MASKED***,0,6.8,,,,Up to date,,0,259,352
WBA5G30PHEV19B,,i5 M60 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,,Zero Emission,2023-01-01,2023-01-21,2023-02-07,***MASKED***,11000,0.0,,,,,,,442,601
WBA5G30PHEV21D,,i5 M60 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,,Zero Emission,2023-01-01,2023-01-19,2023-02-06,***MASKED***,4200,0.0,,,,,,,442,601
WBA5G30PHEV25A,,i5 M60 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,,Zero Emission,2025-01-12,2025-02-03,2025-02-20,***MASKED***,200,0.0,,,,,,,442,601
WBA5G30PHEV17A,,i5 M60 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,,Zero Emission,2023-01-01,2023-01-21,2023-02-05,***MASKED***,22000,0.0,,,,,,,442,601
WBA5G30PHEV23E,,i5 M60 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,,Zero Emission,2023-09-10,2023-10-01,2023-10-20,***MASKED***,1500,0.0,,,,,,,442,601
WBA5G30PHEV23F,,i5 M60 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,,Zero Emission,2023-10-15,2023-11-02,2023-11-25,***MASKED***,900,0.0,,,,,,,442,601
WBA5G30PHEV20B,,i5 M60 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,,Zero Emission,2023-01-01,2023-01-22,2023-02-14,***MASKED***,8000,0.0,,,,,,,442,601
WBA5G30PHEV19A,,i5 M60 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,,Zero Emission,2023-01-01,2023-01-27,2023-02-11,***MASKED***,12000,0.0,,,,,,,442,601
WBA5G30PHEV20C,,i5 M60 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,,Zero Emission,2023-01-01,2023-01-20,2023-02-08,***MASKED***,7000,0.0,,,,,,,442,601
WBA5G30PHEV18A,,i5 M60 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,,Zero Emission,2023-01-01,2023-01-20,2023-02-08,***MASKED***,18000,0.0,,,,,,,442,601
WBA5G30PHEV22E,,i5 M60 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,,Zero Emission,2023-01-01,2023-01-20,2023-02-07,***MASKED***,2800,0.0,,,,,,,442,601
WBA5G30PHEV25B,,i5 M60 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,,Zero Emission,2025-03-05,2025-03-24,2025-04-10,***MASKED***,120,0.0,,,,,,,442,601
WBA5G30PHEV18B,,i5 M60 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,,Zero Emission,2023-01-01,2023-01-20,2023-02-06,***MASKED***,16000,0.0,,,,,,,442,601
WBA5G30PHEV22D,,i5 M60 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,,Zero Emission,2023-01-01,2023-01-18,2023-02-05,***MASKED***,3000,0.0,,,,,,,442,601
WBA5G30PHEV24G,,i5 M60 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,,Zero Emission,2024-03-05,2024-03-22,2024-04-12,***MASKED***,600,0.0,,,,,,,442,601
WBA5G30PHEV24H,,i5 M60 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,,Zero Emission,2024-06-01,2024-06-18,2024-07-05,***MASKED***,350,0.0,,,,,,,442,601
WBA5G30PHEV21C,,i5 M60 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,,Zero Emission,2023-01-01,2023-01-19,2023-02-11,***MASKED***,4500,0.0,,,,,,,442,601
WBA00000000000258,SN230258,i5 eDrive40 (G60),Dingolfing,Single-motor electric (Gen5),Electric,Automatic,CH0000050258,Zero Emission,2023-06-18,2023-07-11,2023-08-04,***MASKED***,73239,0.0,,,0.00,Up to date,Closed,1,250,340
WBA00000000000199,SN150199,i5 eDrive40 (G60),Dingolfing,Single-motor electric (Gen5),Electric,Automatic,CH0000050199,Zero Emission,2023-01-01,2023-01-20,2023-01-25,***MASKED***,112166,0.0,2023-12-19,Rear-end,668.00,Partial,,1,250,340
WBA00000000000018,SN240018,i5 eDrive40 (G60),Dingolfing,Single-motor electric (Gen5),Electric,Automatic,CH0000050018,Zero Emission,2024-02-07,2024-03-14,2024-04-07,***MASKED***,11702,0.0,,,0.00,Up to date,,0,250,340
WBA00000000000259,SN230259,i5 eDrive40 (G60),Dingolfing,Single-motor electric (Gen5),Electric,Automatic,CH0000050259,Zero Emission,2023-10-31,2023-11-09,2023-12-06,***MASKED***,78958,0.0,,,0.00,Partial,,1,250,340
WBA00000000000241,SN230241,i5 eDrive40 (G60),Dingolfing,Single-motor electric (Gen5),Electric,Automatic,CH0000050241,Zero Emission,2023-11-03,2023-11-10,2023-11-27,***MASKED***,45880,0.0,,,0.00,Partial,,0,250,340
WBA00000000000297,SN250297,i5 eDrive40 (G60),Dingolfing,Single-motor electric (Gen5),Electric,Automatic,CH0000050297,Zero Emission,2025-05-21,2025-07-04,2025-07-17,***MASKED***,8051,0.0,,,0.00,Up to date,,0,250,340
WBA00000000000155,SN220155,i5 eDrive40 (G60),Dingolfing,Single-motor electric (Gen5),Electric,Automatic,CH0000050155,Zero Emission,2023-01-01,2023-01-08,2023-02-09,***MASKED***,105776,0.0,,,0.00,Partial,,1,250,340
WBA00000000000135,SN200135,i5 eDrive40 (G60),Dingolfing,Single-motor electric (Gen5),Electric,Automatic,CH0000050135,Zero Emission,2023-01-01,2023-01-24,2023-01-10,***MASKED***,50948,0.0,,,0.00,Up to date,,0,250,340
WBA00000000000172,SN250172,i5 eDrive40 (G60),Dingolfing,Single-motor electric (Gen5),Electric,Automatic,CH0000050172,Zero Emission,2025-10-21,2025-10-28,2025-11-01,***MASKED***,8951,0.0,,,0.00,Up to date,,0,250,340
WBA00000000000204,SN220204,i5 eDrive40 (G60),Dingolfing,Single-motor electric (Gen5),Electric,Automatic,CH0000050204,Zero Emission,2023-01-01,2023-02-15,2023-03-02,***MASKED***,14579,0.0,,,0.00,Up to date,Closed,0,250,340
WBA00000000000009,SN210009,i5 eDrive40 (G60),Dingolfing,Single-motor electric (Gen5),Electric,Automatic,CH0000050009,Zero Emission,2023-01-01,2023-01-28,2023-01-21,***MASKED***,116982,0.0,,,0.00,Up to date,,2,250,340
WBA00000000000250,SN150250,i5 eDrive40 (G60),Dingolfing,Single-motor electric (Gen5),Electric,Automatic,CH0000050250,Zero Emission,2023-01-01,2023-02-09,2023-01-25,***MASKED***,69756,0.0,,,0.00,Partial,,2,250,340
WBA00000000000248,SN230248,i5 eDrive40 (G60),Dingolfing,Single-motor electric (Gen5),Electric,Automatic,CH0000050248,Zero Emission,2023-08-08,2023-09-13,2023-08-25,***MASKED***,41662,0.0,2025-12-31,Collision,5708.00,Partial,,1,250,340
WBA00000000000184,SN220184,i5 eDrive40 (G60),Dingolfing,Single-motor electric (Gen5),Electric,Automatic,CH0000050184,Zero Emission,2023-01-01,2023-01-16,2023-01-17,***MASKED***,15178,0.0,,,0.00,Up to date,Closed,2,250,340
WBA00000000000037,SN170037,i5 eDrive40 (G60),Dingolfing,Single-motor electric (Gen5),Electric,Automatic,CH0000050037,Zero Emission,2023-01-01,2023-01-25,2023-02-28,***MASKED***,82561,0.0,,,0.00,Partial,Closed,0,250,340
WBA00000000000266,SN150266,i5 eDrive40 (G60),Dingolfing,Single-motor electric (Gen5),Electric,Automatic,CH0000050266,Zero Emission,2023-01-01,2023-02-15,2023-03-01,***MASKED***,71191,0.0,,,0.00,Partial,Open,0,250,340
WBA00000000000227,SN210227,i5 eDrive40 (G60),Dingolfing,Single-motor electric (Gen5),Electric,Automatic,CH0000050227,Zero Emission,2023-01-01,2023-02-11,2023-02-18,***MASKED***,20420,0.0,,,0.00,Up to date,,2,250,340
WBA00000000000109,SN220109,i5 eDrive40 (G60),Dingolfing,Single-motor electric (Gen5),Electric,Automatic,CH0000050109,Zero Emission,2023-01-01,2023-01-28,2023-02-15,***MASKED***,51671,0.0,2025-08-28,Collision,5902.00,Up to date,Open,0,250,340
WBA00000000000095,SN180095,i5 eDrive40 (G60),Dingolfing,Single-motor electric (Gen5),Electric,Automatic,CH0000050095,Zero Emission,2023-01-01,2023-01-08,2023-01-24,***MASKED***,134220,0.0,,,0.00,Partial,,1,250,340
WBA00000000000044,SN240044,X5 M60e (G05 LCI),Spartanburg,I6 + e-motor PHEV (Gen5),Hybrid,Automatic,CH0000050044,EURO 6e-bis,2024-07-10,2024-08-03,2024-08-03,***MASKED***,8157,7.5,,,0.00,Up to date,,1,360,489
WBA00000000000080,SN220080,X5 M60e (G05 LCI),Spartanburg,I6 + e-motor PHEV (Gen5),Hybrid,Automatic,CH0000050080,EURO 6e-bis,2023-01-01,2023-02-03,2023-01-19,***MASKED***,115963,6.3,,,0.00,Up to date,,2,360,489
WBA00000000000104,SN210104,X5 M60e (G05 LCI),Spartanburg,I6 + e-motor PHEV (Gen5),Hybrid,Automatic,CH0000050104,EURO 6e-bis,2023-01-01,2023-01-31,2023-02-19,***MASKED***,70050,6.3,,,0.00,Up to date,Open,0,360,489
WBA00000000000150,SN240150,X5 M60e (G05 LCI),Spartanburg,I6 + e-motor PHEV (Gen5),Hybrid,Automatic,CH0000050150,EURO 6e-bis,2024-11-26,2024-12-14,2025-01-02,***MASKED***,7629,7.5,,,0.00,Up to date,Open,0,360,489
WBA00000000000059,SN150059,X5 M60e (G05 LCI),Spartanburg,I6 + e-motor PHEV (Gen5),Hybrid,Automatic,CH0000050059,EURO 6e-bis,2023-01-01,2023-01-25,2023-02-17,***MASKED***,116127,6.1,,,0.00,Partial,Closed,1,360,489
WBA00000000000085,SN150085,X5 M60e (G05 LCI),Spartanburg,I6 + e-motor PHEV (Gen5),Hybrid,Automatic,CH0000050085,EURO 6e-bis,2023-01-01,2023-01-21,2023-02-19,***MASKED***,146044,5.0,,,0.00,Up to date,Closed,2,360,489
WBA00000000000171,SN190171,X5 M60e (G05 LCI),Spartanburg,I6 + e-motor PHEV (Gen5),Hybrid,Automatic,CH0000050171,EURO 6e-bis,2023-01-01,2023-01-08,2023-01-14,***MASKED***,27831,6.7,,,0.00,Up to date,,2,360,489
WBA00000000000246,SN230246,X5 M60e (G05 LCI),Spartanburg,I6 + e-motor PHEV (Gen5),Hybrid,Automatic,CH0000050246,EURO 6e-bis,2023-11-20,2023-12-08,2023-12-17,***MASKED***,50946,6.5,,,0.00,Up to date,,1,360,489
WBA00000000000222,SN190222,X5 M60e (G05 LCI),Spartanburg,I6 + e-motor PHEV (Gen5),Hybrid,Automatic,CH0000050222,EURO 6e-bis,2023-01-01,2023-02-06,2023-02-28,***MASKED***,111953,5.1,2026-11-30,Rear-end,3730.00,Partial,,1,360,489
WBA00000000000283,SN180283,X5 M60e (G05 LCI),Spartanburg,I6 + e-motor PHEV (Gen5),Hybrid,Automatic,CH0000050283,EURO 6e-bis,2023-01-01,2023-02-11,2023-01-19,***MASKED***,138929,5.6,2026-05-27,Rear-end,339.00,Partial,,1,360,489
WBA00000000000012,SN200012,X5 M60e (G05 LCI),Spartanburg,I6 + e-motor PHEV (Gen5),Hybrid,Automatic,CH0000050012,EURO 6e-bis,2023-01-01,2023-02-13,2023-01-18,***MASKED***,97484,7.4,,,0.00,Partial,Closed,1,360,489
WBA00000000000290,SN180290,X5 M60e (G05 LCI),Spartanburg,I6 + e-motor PHEV (Gen5),Hybrid,Automatic,CH0000050290,EURO 6e-bis,2023-01-01,2023-01-12,2023-02-17,***MASKED***,89830,7.1,,,0.00,Partial,,1,360,489
WBA00000000000273,SN180273,X5 M60e (G05 LCI),Spartanburg,I6 + e-motor PHEV (Gen5),Hybrid,Automatic,CH0000050273,EURO 6e-bis,2023-01-01,2023-01-24,2023-01-16,***MASKED***,85947,5.0,2024-01-04,Minor,1037.00,Partial,,1,360,489
WBA00000000000214,SN150214,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050214,EURO 6e-bis,2019-01-01,2019-02-10,2019-02-17,***MASKED***,60010,7.0,,,0.00,Up to date,,1,190,258
WBA00000000000203,SN180203,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050203,EURO 6e-bis,2019-01-01,2019-01-11,2019-01-28,***MASKED***,239958,11.0,2020-10-14,Minor,4538.00,Up to date,,0,190,258
WBA00000000000226,SN240226,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050226,EURO 6e-bis,2024-11-08,2024-11-22,2024-12-10,***MASKED***,601,7.1,,,0.00,Partial,,0,190,258
WBA00000000000071,SN170071,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050071,EURO 6e-bis,2019-01-01,2019-01-11,2019-02-14,***MASKED***,69481,9.7,,,0.00,Partial,,2,190,258
WBA00000000000195,SN210195,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050195,EURO 6e-bis,2021-03-02,2021-03-22,2021-04-17,***MASKED***,83935,6.5,,,0.00,Up to date,,0,190,258
WBA00000000000115,SN250115,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050115,EURO 6e-bis,2025-01-05,2025-01-13,2025-02-05,***MASKED***,10236,7.3,2025-12-31,Rear-end,5022.00,Partial,Closed,1,190,258
WBA00000000000123,SN170123,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050123,EURO 6e-bis,2019-01-01,2019-01-22,2019-01-16,***MASKED***,193331,6.9,,,0.00,Up to date,Open,1,190,258
WBA00000000000040,SN170040,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050040,EURO 6e-bis,2019-01-01,2019-02-02,2019-01-11,***MASKED***,167535,8.8,,,0.00,Partial,,3,190,258
WBA00000000000100,SN220100,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050100,EURO 6e-bis,2022-05-21,2022-06-23,2022-07-13,***MASKED***,15119,11.4,,,0.00,Partial,,1,190,258
WBA00000000000149,SN230149,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050149,EURO 6e-bis,2023-07-21,2023-08-31,2023-08-25,***MASKED***,118053,7.0,,,0.00,Up to date,,1,190,258
WBA00000000000067,SN180067,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050067,EURO 6e-bis,2019-01-01,2019-02-07,2019-01-17,***MASKED***,173931,6.9,,,0.00,Partial,,1,190,258
WBA00000000000211,SN250211,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050211,EURO 6e-bis,2025-01-14,2025-02-26,2025-03-05,***MASKED***,8667,7.8,,,0.00,Up to date,Open,1,190,258
WBA00000000000124,SN170124,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050124,EURO 6e-bis,2019-01-01,2019-02-06,2019-02-04,***MASKED***,131903,7.7,,,0.00,Up to date,Open,1,190,258
WBA00000000000126,SN240126,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050126,EURO 6e-bis,2024-12-06,2024-12-16,2025-01-29,***MASKED***,11816,11.2,,,0.00,Partial,Open,1,190,258
WBA00000000000298,SN250298,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050298,EURO 6e-bis,2025-02-08,2025-02-15,2025-02-24,***MASKED***,1706,11.5,,,0.00,Up to date,,0,190,258
WBA00000000000161,SN150161,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050161,EURO 6e-bis,2019-01-01,2019-01-30,2019-01-31,***MASKED***,124597,9.5,,,0.00,Up to date,,0,190,258
WBA00000000000186,SN170186,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050186,EURO 6e-bis,2019-01-01,2019-02-02,2019-01-16,***MASKED***,91125,11.1,,,0.00,Partial,Closed,0,190,258
WBA00000000000094,SN200094,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050094,EURO 6e-bis,2020-03-25,2020-04-07,2020-04-18,***MASKED***,101997,7.9,,,0.00,Partial,Open,1,190,258
WBA00000000000281,SN240281,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050281,EURO 6e-bis,2024-10-19,2024-11-07,2024-11-09,***MASKED***,10486,10.3,,,0.00,Up to date,,0,190,258
WBA00000000000084,SN210084,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050084,EURO 6e-bis,2021-02-19,2021-03-10,2021-04-10,***MASKED***,95225,7.5,,,0.00,Partial,Closed,1,190,258
WBA00000000000049,SN160049,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050049,EURO 6e-bis,2019-01-01,2019-02-06,2019-02-06,***MASKED***,159777,10.4,,,0.00,Up to date,Closed,2,190,258
WBA00000000000191,SN190191,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050191,EURO 6e-bis,2019-02-15,2019-03-14,2019-03-29,***MASKED***,87398,7.1,,,0.00,Up to date,Open,0,190,258
WBA00000000000257,SN200257,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050257,EURO 6e-bis,2020-10-21,2020-10-28,2020-11-11,***MASKED***,97967,8.0,,,0.00,Up to date,Closed,2,190,258
WBA00000000000029,SN240029,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050029,EURO 6e-bis,2024-03-20,2024-04-03,2024-05-16,***MASKED***,5358,7.7,,,0.00,Up to date,,0,190,258
WBA00000000000069,SN180069,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050069,EURO 6e-bis,2019-01-01,2019-01-19,2019-02-10,***MASKED***,179993,8.1,,,0.00,Up to date,,2,190,258
WBA00000000000154,SN250154,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050154,EURO 6e-bis,2025-01-03,2025-02-07,2025-02-17,***MASKED***,144,8.3,,,0.00,Partial,Open,1,190,258
WBA00000000000179,SN230179,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050179,EURO 6e-bis,2023-03-15,2023-04-28,2023-04-15,***MASKED***,59042,8.8,,,0.00,Up to date,Closed,0,190,258
WBA00000000000030,SN250030,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050030,EURO 6e-bis,2025-10-19,2025-11-20,2025-12-13,***MASKED***,7727,7.5,,,0.00,Up to date,,0,190,258
WBA00000000000262,SN180262,i7 M70 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,CH0000050262,Zero Emission,2023-01-01,2023-02-08,2023-02-14,***MASKED***,116784,0.0,2025-08-22,Minor,3421.00,Partial,Closed,1,485,660
WBA00000000000177,SN160177,i7 M70 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,CH0000050177,Zero Emission,2023-01-01,2023-01-31,2023-01-14,***MASKED***,87579,0.0,2023-12-04,Minor,5371.00,Up to date,Open,1,485,660
WBA00000000000276,SN240276,i7 M70 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,CH0000050276,Zero Emission,2024-10-10,2024-11-07,2024-11-17,***MASKED***,8223,0.0,2025-12-31,Collision,2927.00,Partial,,1,485,660
WBA00000000000217,SN230217,i7 M70 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,CH0000050217,Zero Emission,2023-04-30,2023-05-13,2023-05-19,***MASKED***,91508,0.0,,,0.00,Partial,,0,485,660
WBA00000000000225,SN250225,i7 M70 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,CH0000050225,Zero Emission,2025-04-13,2025-04-22,2025-05-26,***MASKED***,3175,0.0,2025-12-31,Collision,4694.00,Up to date,Closed,0,485,660
WBA00000000000230,SN200230,i7 M70 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,CH0000050230,Zero Emission,2023-01-01,2023-01-12,2023-02-12,***MASKED***,20011,0.0,,,0.00,Partial,,1,485,660
WBA00000000000035,SN150035,i7 M70 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,CH0000050035,Zero Emission,2023-01-01,2023-01-23,2023-02-16,***MASKED***,135029,0.0,,,0.00,Partial,Closed,3,485,660
WBA00000000000229,SN160229,i7 M70 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,CH0000050229,Zero Emission,2023-01-01,2023-02-02,2023-02-25,***MASKED***,149093,0.0,,,0.00,Up to date,,2,485,660
WBA00000000000023,SN200023,i7 M70 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,CH0000050023,Zero Emission,2023-01-01,2023-01-17,2023-02-20,***MASKED***,85609,0.0,2023-04-12,Minor,5665.00,Partial,,1,485,660
WBA00000000000296,SN150296,i7 M70 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,CH0000050296,Zero Emission,2023-01-01,2023-01-16,2023-02-19,***MASKED***,86893,0.0,,,0.00,Up to date,,3,485,660
WBA00000000000073,SN200073,i7 M70 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,CH0000050073,Zero Emission,2023-01-01,2023-01-24,2023-02-25,***MASKED***,84452,0.0,,,0.00,Partial,,1,485,660
WBA00000000000274,SN250274,i7 M70 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,CH0000050274,Zero Emission,2025-07-28,2025-09-10,2025-09-26,***MASKED***,2841,0.0,,,0.00,Up to date,,1,485,660
WBA00000000000007,SN190007,i7 M70 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,CH0000050007,Zero Emission,2023-01-01,2023-01-13,2023-02-01,***MASKED***,37626,0.0,2024-10-01,Collision,940.00,Up to date,,2,485,660
WBA00000000000175,SN150175,i7 M70 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,CH0000050175,Zero Emission,2023-01-01,2023-01-20,2023-01-19,***MASKED***,131611,0.0,,,0.00,Partial,,3,485,660
WBA00000000000176,SN170176,i7 M70 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,CH0000050176,Zero Emission,2023-01-01,2023-02-10,2023-01-28,***MASKED***,190994,0.0,,,0.00,Partial,Open,2,485,660
WBA00000000000153,SN160153,i7 M70 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,CH0000050153,Zero Emission,2023-01-01,2023-01-18,2023-02-17,***MASKED***,143096,0.0,,,0.00,Partial,,1,485,660
WBA00000000000081,SN160081,i7 M70 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,CH0000050081,Zero Emission,2023-01-01,2023-01-30,2023-02-07,***MASKED***,138029,0.0,2025-05-28,Minor,5726.00,Up to date,Closed,3,485,660
WBA00000000000058,SN170058,i7 M70 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,CH0000050058,Zero Emission,2023-01-01,2023-02-15,2023-02-18,***MASKED***,216497,0.0,,,0.00,Partial,,2,485,660
WBA00000000000275,SN200275,i7 M70 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,CH0000050275,Zero Emission,2023-01-01,2023-01-24,2023-02-23,***MASKED***,71627,0.0,,,0.00,Partial,Open,1,485,660
WBA00000000000284,SN210284,i7 M70 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,CH0000050284,Zero Emission,2023-01-01,2023-01-29,2023-02-01,***MASKED***,68225,0.0,,,0.00,Up to date,,2,485,660
WBA00000000000260,SN200260,i7 M70 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,CH0000050260,Zero Emission,2023-01-01,2023-02-04,2023-01-11,***MASKED***,70420,0.0,,,0.00,Partial,,1,485,660
WBA00000000000015,SN190015,iX1 xDrive30 (U11 LCI),Regensburg,Dual-motor electric (Gen5),Electric,Automatic,CH0000050015,Zero Emission,2023-01-01,2023-01-17,2023-02-01,***MASKED***,70923,0.0,,,0.00,Up to date,,2,230,313
WBA00000000000243,SN220243,iX1 xDrive30 (U11 LCI),Regensburg,Dual-motor electric (Gen5),Electric,Automatic,CH0000050243,Zero Emission,2023-01-01,2023-01-24,2023-01-23,***MASKED***,108481,0.0,,,0.00,Partial,,1,230,313
WBA00000000000256,SN230256,iX1 xDrive30 (U11 LCI),Regensburg,Dual-motor electric (Gen5),Electric,Automatic,CH0000050256,Zero Emission,2023-03-30,2023-04-10,2023-05-07,***MASKED***,95230,0.0,2025-03-27,Rear-end,6027.00,Up to date,Open,0,230,313
WBA00000000000267,SN160267,iX1 xDrive30 (U11 LCI),Regensburg,Dual-motor electric (Gen5),Electric,Automatic,CH0000050267,Zero Emission,2023-01-01,2023-01-09,2023-02-23,***MASKED***,217788,0.0,,,0.00,Partial,Closed,0,230,313
WBA00000000000001,SN160001,iX1 xDrive30 (U11 LCI),Regensburg,Dual-motor electric (Gen5),Electric,Automatic,CH0000050001,Zero Emission,2023-01-01,2023-02-07,2023-01-11,***MASKED***,214084,0.0,2024-05-09,Collision,862.00,Up to date,,3,230,313
