service_event_id,vin,service_date,service_type,service_centre,service_cost,warranty,notes
13820,WBA00000000000231,2024-10-10,Battery Service,BMW Los Angeles Service,537.00,FALSE,Notes: software update
13821,WBA00000000000249,2025-11-21,Brake Service,BMW Hamburg Service,947.00,FALSE,Notes: software update
13822,WBA00000000000241,2024-10-31,Annual Service,BMW Cologne Service,849.00,FALSE,Notes: software update
13823,WBA00000000000102,2019-07-16,Inspection,BMW Guadalajara Service,192.00,FALSE,Notes: inspection
13824,WBA00000000000275,2020-10-23,Brake Service,BMW Stuttgart Service,658.00,FALSE,Notes: inspection
13825,WBA00000000000023,2022-01-01,Inspection,BMW Hamburg Service,289.00,FALSE,Notes: inspection
13826,WBA00000000000043,2018-07-13,Inspection,BMW Miami Service,1115.00,FALSE,Notes: inspection
13827,WBA00000000000058,2018-12-19,Inspection,BMW Cologne Service,0.00,TRUE,Notes: routine
13828,WBA00000000000224,2022-07-14,Oil Service,BMW Chicago Service,1156.00,FALSE,Notes: software update
13829,WBA00000000000083,2023-04-19,Inspection,BMW Los Angeles Service,400.00,FALSE,Notes: routine
13830,WBA00000000000184,2023-10-02,Annual Service,BMW Regensburg Service,0.00,TRUE,Notes: routine
13831,WBA00000000000223,2019-01-08,Brake Service,BMW Leipzig Service,0.00,TRUE,Notes: software update
13832,WBA00000000000232,2025-12-31,Brake Service,BMW Dallas Service,383.00,FALSE,Notes: software update
13913,WBA00000000000270,2020-01-03,Inspection,BMW Dallas Service,997.00,FALSE,Notes: routine
13914,WBA00000000000052,2022-05-03,Oil Service,BMW Frankfurt Service,989.00,FALSE,Notes: software update
13915,WBA00000000000033,2024-02-29,Inspection,BMW Los Angeles Service,444.00,FALSE,Notes: software update
13916,WBA00000000000284,2022-09-01,Oil Service,BMW Regensburg Service,1101.00,FALSE,Notes: software update
13917,WBA00000000000291,2018-11-03,Brake Service,BMW Hamburg Service,745.00,FALSE,Notes: software update
13918,WBA00000000000236,2017-08-08,Inspection,BMW Cologne Service,1149.00,FALSE,Notes: inspection
13919,WBA00000000000073,2020-09-22,Inspection,BMW Leipzig Service,0.00,TRUE,Notes: software update
13920,WBA00000000000120,2023-01-04,Battery Service,BMW Munich Service,0.00,TRUE,Notes: inspection
13921,WBA00000000000232,2025-12-31,Battery Service,BMW Spartanburg Service,571.00,FALSE,Notes: software update
13985,WBA00000000000204,2023-09-10,Battery Service,BMW Munich Service,206.00,FALSE,Notes: inspection
13986,WBA00000000000039,2021-03-04,Battery Service,BMW Dallas Service,714.00,FALSE,Notes: software update
13987,WBA00000000000218,2019-09-15,Oil Service,BMW Munich Service,772.00,FALSE,Notes: routine
13988,WBA00000000000166,2022-10-25,Brake Service,BMW Los Angeles Service,0.00,TRUE,Notes: inspection
13989,WBA00000000000014,2025-01-17,Brake Service,BMW Munich Service,0.00,TRUE,Notes: software update
13990,WBA00000000000227,2022-03-15,Brake Service,BMW Leipzig Service,587.00,FALSE,Notes: software update
13991,WBA00000000000079,2025-12-31,Inspection,BMW Cologne Service,473.00,FALSE,Notes: routine
13992,WBA00000000000299,2015-08-04,Battery Service,BMW Munich Service,435.00,FALSE,Notes: software update
13993,WBA00000000000026,2022-11-12,Annual Service,BMW Regensburg Service,1100.00,FALSE,Notes: software update
13526,WBA00000000000022,2017-07-27,Annual Service,BMW Hamburg Service,939.00,FALSE,Notes: software update
13527,WBA00000000000048,2023-05-13,Inspection,BMW Cologne Service,880.00,FALSE,Notes: routine
13528,WBA00000000000064,2023-12-30,Brake Service,BMW Berlin Service,290.00,FALSE,Notes: routine
13529,WBA00000000000022,2016-10-28,Brake Service,BMW Regensburg Service,0.00,TRUE,Notes: inspection
13530,WBA00000000000053,2022-12-21,Annual Service,BMW Los Angeles Service,0.00,TRUE,Notes: software update
13531,WBA00000000000292,2019-01-17,Inspection,BMW Berlin Service,0.00,TRUE,Notes: routine
13532,WBA00000000000110,2022-03-02,Brake Service,BMW Spartanburg Service,952.00,FALSE,Notes: software update
13533,WBA00000000000164,2020-10-03,Oil Service,BMW Hamburg Service,314.00,FALSE,Notes: inspection
13534,WBA00000000000166,2022-10-09,Inspection,BMW New York Service,1096.00,FALSE,Notes: software update
13535,WBA00000000000276,2025-12-31,Annual Service,BMW Cologne Service,0.00,TRUE,Notes: routine
13536,WBA00000000000121,2019-11-20,Battery Service,BMW Cologne Service,1050.00,FALSE,Notes: inspection
13537,WBA00000000000173,2024-09-23,Battery Service,BMW Monterrey Service,641.00,FALSE,Notes: software update
13538,WBA00000000000100,2022-09-27,Annual Service,BMW Berlin Service,389.00,FALSE,Notes: routine
13539,WBA00000000000278,2024-09-01,Battery Service,BMW Regensburg Service,0.00,TRUE,Notes: software update
13540,WBA00000000000055,2022-03-11,Oil Service,BMW Dallas Service,0.00,TRUE,Notes: software update
13541,WBA00000000000186,2018-06-12,Battery Service,BMW Munich Service,1190.00,FALSE,Notes: inspection
13624,WBA00000000000075,2022-02-04,Inspection,BMW Chicago Service,536.00,FALSE,Notes: routine
13625,WBA00000000000298,2025-12-31,Annual Service,BMW Hamburg Service,0.00,TRUE,Notes: inspection
13626,WBA00000000000015,2019-07-26,Annual Service,BMW Stuttgart Service,669.00,FALSE,Notes: inspection
13627,WBA00000000000233,2019-10-21,Battery Service,BMW Los Angeles Service,95.00,FALSE,Notes: inspection
13628,WBA00000000000223,2018-01-19,Annual Service,BMW Regensburg Service,1141.00,FALSE,Notes: software update
13629,WBA00000000000293,2025-12-31,Annual Service,BMW Miami Service,553.00,FALSE,Notes: routine
13630,WBA00000000000058,2019-08-14,Brake Service,BMW Regensburg Service,0.00,TRUE,Notes: routine
13631,WBA00000000000015,2021-07-10,Oil Service,BMW Hamburg Service,979.00,FALSE,Notes: software update
13632,WBA00000000000003,2018-09-02,Brake Service,BMW Hamburg Service,495.00,FALSE,Notes: routine
13633,WBA00000000000286,2022-09-08,Battery Service,BMW Dallas Service,524.00,FALSE,Notes: software update
13634,WBA00000000000013,2025-12-31,Brake Service,BMW Los Angeles Service,242.00,FALSE,Notes: software update
13635,WBA00000000000171,2021-07-20,Brake Service,BMW Miami Service,758.00,FALSE,Notes: software update
13636,WBA00000000000260,2022-11-19,Inspection,BMW Stuttgart Service,266.00,FALSE,Notes: routine
13731,WBA00000000000106,2023-12-16,Inspection,BMW Miami Service,422.00,FALSE,Notes: routine
13732,WBA00000000000047,2021-04-25,Inspection,BMW Frankfurt Service,327.00,FALSE,Notes: routine
13733,WBA00000000000195,2022-08-03,Oil Service,BMW Leipzig Service,1157.00,FALSE,Notes: routine
13734,WBA00000000000176,2018-05-23,Battery Service,BMW Berlin Service,285.00,FALSE,Notes: routine
13735,WBA00000000000213,2025-12-31,Battery Service,BMW Munich Service,409.00,FALSE,Notes: software update
13736,WBA00000000000006,2020-02-23,Brake Service,BMW Cologne Service,259.00,FALSE,Notes: routine
13737,WBA00000000000013,2025-12-31,Battery Service,BMW Dallas Service,378.00,FALSE,Notes: inspection
13738,WBA00000000000293,2025-12-31,Inspection,BMW Chicago Service,0.00,TRUE,Notes: inspection
13739,WBA00000000000102,2017-04-16,Annual Service,BMW Guadalajara Service,395.00,FALSE,Notes: routine
13740,WBA00000000000040,2018-12-22,Oil Service,BMW Berlin Service,1066.00,FALSE,Notes: software update
13741,WBA00000000000149,2024-03-14,Oil Service,BMW Hamburg Service,733.00,FALSE,Notes: software update
13742,WBA00000000000101,2020-09-16,Battery Service,BMW Berlin Service,896.00,FALSE,Notes: routine
13743,WBA00000000000049,2017-02-28,Inspection,BMW Cologne Service,0.00,TRUE,Notes: inspection
13744,WBA00000000000063,2018-08-03,Battery Service,BMW Chicago Service,819.00,FALSE,Notes: routine
13745,WBA00000000000118,2023-02-18,Oil Service,BMW Miami Service,0.00,TRUE,Notes: inspection
13799,WBA00000000000235,2019-09-27,Brake Service,BMW Guadalajara Service,233.00,FALSE,Notes: inspection
13800,WBA00000000000214,2017-12-26,Battery Service,BMW Frankfurt Service,227.00,FALSE,Notes: software update
13801,WBA00000000000127,2018-05-13,Inspection,BMW Dallas Service,1180.00,FALSE,Notes: routine
13802,WBA00000000000231,2025-12-31,Oil Service,BMW Dallas Service,0.00,TRUE,Notes: routine
13803,WBA00000000000190,2023-04-01,Brake Service,BMW Hamburg Service,426.00,FALSE,Notes: routine
13804,WBA00000000000007,2020-09-06,Battery Service,BMW Leipzig Service,364.00,FALSE,Notes: inspection
13805,WBA00000000000067,2019-06-04,Battery Service,BMW Munich Service,143.00,FALSE,Notes: routine
13806,WBA00000000000127,2019-07-06,Oil Service,BMW Miami Service,902.00,FALSE,Notes: software update
13807,WBA00000000000169,2024-02-11,Inspection,BMW Guadalajara Service,1119.00,FALSE,Notes: routine
13853,WBA00000000000278,2024-12-02,Oil Service,BMW Hamburg Service,1012.00,FALSE,Notes: inspection
13854,WBA00000000000120,2024-02-14,Inspection,BMW Munich Service,950.00,FALSE,Notes: software update
13855,WBA00000000000050,2024-05-14,Annual Service,BMW Munich Service,0.00,TRUE,Notes: inspection
13856,WBA00000000000152,2016-10-20,Inspection,BMW Regensburg Service,889.00,FALSE,Notes: software update
13857,WBA00000000000215,2021-02-13,Annual Service,BMW Miami Service,582.00,FALSE,Notes: inspection
13858,WBA00000000000059,2016-11-17,Oil Service,BMW New York Service,724.00,FALSE,Notes: routine
13859,WBA00000000000111,2018-09-10,Brake Service,BMW Regensburg Service,1084.00,FALSE,Notes: software update
13860,WBA00000000000151,2016-10-23,Battery Service,BMW Regensburg Service,1132.00,FALSE,Notes: inspection
13861,WBA00000000000208,2023-10-20,Brake Service,BMW Munich Service,0.00,TRUE,Notes: inspection
13862,WBA00000000000285,2023-11-30,Inspection,BMW Guadalajara Service,1188.00,FALSE,Notes: inspection
13863,WBA00000000000023,2020-09-14,Brake Service,BMW Regensburg Service,1059.00,FALSE,Notes: routine
13864,WBA00000000000243,2024-07-05,Brake Service,BMW Hamburg Service,0.00,TRUE,Notes: routine
13865,WBA00000000000073,2022-01-31,Oil Service,BMW Regensburg Service,570.00,FALSE,Notes: routine
13866,WBA00000000000264,2016-12-08,Inspection,BMW Cologne Service,898.00,FALSE,Notes: software update
13867,WBA00000000000195,2023-04-09,Annual Service,BMW Regensburg Service,0.00,TRUE,Notes: software update
13868,WBA00000000000229,2018-09-10,Battery Service,BMW Stuttgart Service,865.00,FALSE,Notes: routine
13869,WBA00000000000113,2017-12-29,Annual Service,BMW Berlin Service,165.00,FALSE,Notes: software update
13870,WBA00000000000068,2022-10-04,Battery Service,BMW Hamburg Service,156.00,FALSE,Notes: inspection
13871,WBA00000000000187,2023-02-08,Oil Service,BMW Guadalajara Service,535.00,FALSE,Notes: routine
13904,WBA00000000000139,2018-05-13,Oil Service,BMW Hamburg Service,636.00,FALSE,Notes: routine
13905,WBA00000000000105,2021-02-06,Oil Service,BMW Frankfurt Service,0.00,TRUE,Notes: inspection
13906,WBA00000000000144,2020-03-23,Oil Service,BMW Miami Service,1050.00,FALSE,Notes: inspection
13907,WBA00000000000203,2020-06-19,Inspection,BMW Stuttgart Service,1033.00,FALSE,Notes: software update
13908,WBA00000000000250,2016-03-22,Brake Service,BMW Leipzig Service,778.00,FALSE,Notes: routine
13909,WBA00000000000007,2020-10-02,Brake Service,BMW Cologne Service,1104.00,FALSE,Notes: software update
13910,WBA00000000000130,2018-06-21,Inspection,BMW Berlin Service,1005.00,FALSE,Notes: software update
13911,WBA00000000000196,2025-12-31,Inspection,BMW Los Angeles Service,1170.00,FALSE,Notes: inspection
13912,WBA00000000000076,2018-03-24,Inspection,BMW Cologne Service,353.00,FALSE,Notes: inspection
13973,WBA00000000000066,2019-09-12,Battery Service,BMW Dallas Service,87.00,FALSE,Notes: inspection
13974,WBA00000000000135,2022-01-18,Brake Service,BMW Munich Service,916.00,FALSE,Notes: software update
13975,WBA00000000000148,2025-03-19,Annual Service,BMW Hamburg Service,162.00,FALSE,Notes: inspection
13976,WBA00000000000241,2024-04-27,Inspection,BMW Stuttgart Service,528.00,FALSE,Notes: routine
13977,WBA00000000000080,2024-11-25,Inspection,BMW Chicago Service,886.00,FALSE,Notes: software update
13978,WBA00000000000029,2025-05-15,Inspection,BMW Frankfurt Service,1128.00,FALSE,Notes: routine
13979,WBA00000000000248,2024-01-09,Oil Service,BMW Regensburg Service,233.00,FALSE,Notes: software update
13980,WBA00000000000102,2019-01-31,Annual Service,BMW Mexico City Service,970.00,FALSE,Notes: routine
14045,WBA00000000000258,2024-11-26,Oil Service,BMW Frankfurt Service,1066.00,FALSE,Notes: software update
14046,WBA00000000000216,2025-12-31,Inspection,BMW Los Angeles Service,511.00,FALSE,Notes: routine
14047,WBA00000000000250,2017-05-11,Brake Service,BMW Berlin Service,0.00,TRUE,Notes: routine
14048,WBA00000000000059,2016-07-20,Inspection,BMW Miami Service,262.00,FALSE,Notes: software update
14049,WBA00000000000296,2016-10-23,Inspection,BMW Stuttgart Service,500.00,FALSE,Notes: inspection
14050,WBA00000000000144,2020-07-03,Brake Service,BMW Dallas Service,1101.00,FALSE,Notes: software update
14051,WBA00000000000238,2019-12-10,Battery Service,BMW Berlin Service,756.00,FALSE,Notes: software update
14052,WBA00000000000025,2016-08-10,Battery Service,BMW Miami Service,864.00,FALSE,Notes: inspection
13491,WBA00000000000262,2020-02-06,Oil Service,BMW Leipzig Service,410.00,FALSE,Notes: software update
13501,WBA00000000000259,2025-12-31,Inspection,BMW Stuttgart Service,108.00,FALSE,Notes: software update
13502,WBA00000000000247,2023-05-31,Brake Service,BMW Leipzig Service,109.00,FALSE,Notes: software update
13503,WBA00000000000239,2017-09-12,Battery Service,BMW New York Service,907.00,FALSE,Notes: routine
13504,WBA00000000000246,2024-10-21,Inspection,BMW Spartanburg Service,0.00,TRUE,Notes: software update
13505,WBA00000000000137,2021-11-07,Inspection,BMW San Luis Potosí Service,1008.00,FALSE,Notes: inspection
13614,WBA00000000000209,2020-03-30,Oil Service,BMW Dallas Service,0.00,TRUE,Notes: routine
13615,WBA00000000000270,2020-12-31,Battery Service,BMW Chicago Service,484.00,FALSE,Notes: inspection
13616,WBA00000000000139,2017-04-17,Battery Service,BMW Frankfurt Service,293.00,FALSE,Notes: inspection
13617,WBA00000000000038,2017-10-09,Annual Service,BMW Spartanburg Service,0.00,TRUE,Notes: inspection
13618,WBA00000000000280,2025-04-24,Inspection,BMW Miami Service,0.00,TRUE,Notes: software update
13619,WBA00000000000054,2019-04-26,Inspection,BMW Guadalajara Service,123.00,FALSE,Notes: inspection
13620,WBA00000000000092,2025-12-31,Brake Service,BMW Regensburg Service,482.00,FALSE,Notes: inspection
13621,WBA00000000000242,2021-06-18,Annual Service,BMW Spartanburg Service,1013.00,FALSE,Notes: inspection
13622,WBA00000000000071,2017-08-08,Oil Service,BMW Stuttgart Service,952.00,FALSE,Notes: routine
13623,WBA00000000000109,2023-08-15,Inspection,BMW Cologne Service,0.00,TRUE,Notes: routine
13774,WBA00000000000130,2019-10-09,Annual Service,BMW Munich Service,653.00,FALSE,Notes: inspection
13775,WBA00000000000229,2017-02-25,Annual Service,BMW Munich Service,747.00,FALSE,Notes: inspection
13776,WBA00000000000208,2024-10-03,Inspection,BMW Cologne Service,0.00,TRUE,Notes: routine
13777,WBA00000000000057,2022-04-26,Oil Service,BMW Hamburg Service,940.00,FALSE,Notes: inspection
13778,WBA00000000000077,2017-09-02,Annual Service,BMW Leipzig Service,763.00,FALSE,Notes: software update
13779,WBA00000000000297,2025-12-31,Inspection,BMW Frankfurt Service,391.00,FALSE,Notes: routine
13780,WBA00000000000117,2019-02-23,Battery Service,BMW Berlin Service,578.00,FALSE,Notes: inspection
13781,WBA00000000000053,2021-08-21,Brake Service,BMW Miami Service,1136.00,FALSE,Notes: software update
13782,WBA00000000000224,2023-04-10,Brake Service,BMW Miami Service,742.00,FALSE,Notes: software update
13783,WBA00000000000033,2023-12-23,Annual Service,BMW New York Service,0.00,TRUE,Notes: software update
13784,WBA00000000000119,2023-01-27,Battery Service,BMW Miami Service,969.00,FALSE,Notes: inspection
13785,WBA00000000000125,2022-04-09,Oil Service,BMW New York Service,0.00,TRUE,Notes: routine
13786,WBA00000000000016,2018-11-30,Annual Service,BMW Dallas Service,825.00,FALSE,Notes: inspection
13808,WBA00000000000097,2017-12-05,Brake Service,BMW Dallas Service,82.00,FALSE,Notes: inspection
13809,WBA00000000000067,2020-07-20,Inspection,BMW Berlin Service,514.00,FALSE,Notes: routine
13810,WBA00000000000139,2016-09-26,Oil Service,BMW Frankfurt Service,449.00,FALSE,Notes: inspection
13811,WBA00000000000038,2019-07-11,Oil Service,BMW Dallas Service,223.00,FALSE,Notes: software update
13812,WBA00000000000299,2016-10-16,Battery Service,BMW Leipzig Service,852.00,FALSE,Notes: inspection
13813,WBA00000000000225,2025-12-31,Inspection,BMW Leipzig Service,1131.00,FALSE,Notes: routine
13814,WBA00000000000122,2017-01-31,Brake Service,BMW Leipzig Service,301.00,FALSE,Notes: software update
13815,WBA00000000000031,2024-05-27,Brake Service,BMW Mexico City Service,1019.00,FALSE,Notes: software update
13816,WBA00000000000216,2025-04-27,Oil Service,BMW Los Angeles Service,450.00,FALSE,Notes: software update
13817,WBA00000000000148,2025-08-11,Brake Service,BMW Hamburg Service,876.00,FALSE,Notes: software update
13962,WBA00000000000245,2024-01-25,Oil Service,BMW Monterrey Service,591.00,FALSE,Notes: inspection
13963,WBA00000000000041,2021-08-18,Inspection,BMW Mexico City Service,810.00,FALSE,Notes: software update
13964,WBA00000000000187,2023-12-15,Oil Service,BMW Monterrey Service,353.00,FALSE,Notes: routine
13965,WBA00000000000243,2023-01-03,Brake Service,BMW Leipzig Service,552.00,FALSE,Notes: routine
13966,WBA00000000000273,2019-08-08,Inspection,BMW Dallas Service,0.00,TRUE,Notes: software update
13967,WBA00000000000128,2020-03-24,Brake Service,BMW Dallas Service,493.00,FALSE,Notes: routine
13968,WBA00000000000159,2021-05-27,Battery Service,BMW Chicago Service,0.00,TRUE,Notes: inspection
13969,WBA00000000000201,2025-10-04,Inspection,BMW Chicago Service,596.00,FALSE,Notes: inspection
13970,WBA00000000000084,2022-06-09,Annual Service,BMW Munich Service,316.00,FALSE,Notes: software update
13971,WBA00000000000170,2016-05-20,Annual Service,BMW Mexico City Service,0.00,TRUE,Notes: routine
13972,WBA00000000000162,2020-01-07,Battery Service,BMW Regensburg Service,0.00,TRUE,Notes: software update
14034,WBA00000000000167,2022-11-21,Annual Service,BMW New York Service,0.00,TRUE,Notes: inspection
14035,WBA00000000000071,2018-11-16,Inspection,BMW Frankfurt Service,1193.00,FALSE,Notes: inspection
14036,WBA00000000000104,2022-07-05,Annual Service,BMW Los Angeles Service,0.00,TRUE,Notes: inspection
14037,WBA00000000000122,2018-06-09,Oil Service,BMW Stuttgart Service,931.00,FALSE,Notes: inspection
14038,WBA00000000000150,2025-04-09,Battery Service,BMW Los Angeles Service,0.00,TRUE,Notes: software update
14039,WBA00000000000033,2023-03-16,Annual Service,BMW Chicago Service,574.00,FALSE,Notes: inspection
14040,WBA00000000000251,2020-03-25,Battery Service,BMW Munich Service,0.00,TRUE,Notes: routine
14041,WBA00000000000288,2017-08-10,Brake Service,BMW Regensburg Service,497.00,FALSE,Notes: inspection
14042,WBA00000000000071,2017-08-09,Annual Service,BMW Stuttgart Service,0.00,TRUE,Notes: software update
14043,WBA00000000000262,2020-03-22,Annual Service,BMW Hamburg Service,0.00,TRUE,Notes: inspection
14044,WBA00000000000230,2021-09-12,Oil Service,BMW Stuttgart Service,229.00,FALSE,Notes: inspection
14113,WBA00000000000300,2017-11-26,Brake Service,BMW Monterrey Service,829.00,FALSE,Notes: inspection
14114,WBA00000000000013,2025-12-31,Annual Service,BMW Miami Service,110.00,FALSE,Notes: software update
14115,WBA00000000000168,2018-02-12,Brake Service,BMW Leipzig Service,258.00,FALSE,Notes: software update
14116,WBA00000000000018,2025-04-20,Annual Service,BMW Regensburg Service,688.00,FALSE,Notes: inspection
14117,WBA00000000000124,2018-07-08,Inspection,BMW Munich Service,843.00,FALSE,Notes: routine
14118,WBA00000000000252,2016-02-14,Oil Service,BMW Hamburg Service,165.00,FALSE,Notes: routine
14130,WBA00000000000214,2017-06-22,Oil Service,BMW Regensburg Service,637.00,FALSE,Notes: inspection
14131,WBA00000000000162,2019-06-19,Brake Service,BMW Cologne Service,0.00,TRUE,Notes: software update
14132,WBA00000000000223,2018-11-06,Oil Service,BMW Munich Service,173.00,FALSE,Notes: software update
14133,WBA00000000000193,2024-01-09,Battery Service,BMW Miami Service,0.00,TRUE,Notes: software update
14134,WBA00000000000107,2018-12-16,Battery Service,BMW Stuttgart Service,479.00,FALSE,Notes: inspection
14135,WBA00000000000221,2017-04-05,Battery Service,BMW Frankfurt Service,366.00,FALSE,Notes: software update
14136,WBA00000000000173,2023-10-09,Inspection,BMW Mexico City Service,885.00,FALSE,Notes: inspection
14137,WBA00000000000086,2023-10-15,Oil Service,BMW Leipzig Service,1140.00,FALSE,Notes: software update
13441,WBA00000000000134,2019-09-26,Brake Service,BMW Berlin Service,269.00,FALSE,Notes: inspection
13442,WBA00000000000009,2022-01-19,Inspection,BMW Stuttgart Service,1050.00,FALSE,Notes: routine
13443,WBA00000000000042,2023-12-28,Brake Service,BMW Mexico City Service,158.00,FALSE,Notes: inspection
13444,WBA00000000000178,2025-12-31,Annual Service,BMW Stuttgart Service,143.00,FALSE,Notes: software update
13445,WBA00000000000060,2020-04-22,Oil Service,BMW Hamburg Service,1001.00,FALSE,Notes: software update
13446,WBA00000000000129,2021-05-16,Annual Service,BMW Leipzig Service,562.00,FALSE,Notes: software update
13563,WBA00000000000076,2019-03-31,Brake Service,BMW Regensburg Service,695.00,FALSE,Notes: routine
13564,WBA00000000000115,2025-12-02,Brake Service,BMW Leipzig Service,574.00,FALSE,Notes: routine
13565,WBA00000000000021,2021-11-02,Annual Service,BMW Munich Service,0.00,TRUE,Notes: routine
13566,WBA00000000000111,2018-06-29,Annual Service,BMW Hamburg Service,1122.00,FALSE,Notes: inspection
13567,WBA00000000000003,2017-07-15,Brake Service,BMW Regensburg Service,1065.00,FALSE,Notes: software update
13568,WBA00000000000173,2023-09-25,Battery Service,BMW Mexico City Service,0.00,TRUE,Notes: routine
13569,WBA00000000000103,2021-06-11,Inspection,BMW Chicago Service,1166.00,FALSE,Notes: inspection
13570,WBA00000000000202,2024-04-30,Oil Service,BMW Stuttgart Service,1200.00,FALSE,Notes: inspection
13571,WBA00000000000278,2024-10-05,Brake Service,BMW Regensburg Service,1141.00,FALSE,Notes: routine
13572,WBA00000000000199,2017-01-16,Oil Service,BMW Regensburg Service,461.00,FALSE,Notes: inspection
13573,WBA00000000000130,2019-01-09,Inspection,BMW Frankfurt Service,973.00,FALSE,Notes: routine
13574,WBA00000000000152,2017-09-18,Inspection,BMW Regensburg Service,0.00,TRUE,Notes: inspection
13575,WBA00000000000016,2017-03-12,Inspection,BMW New York Service,449.00,FALSE,Notes: software update
13576,WBA00000000000117,2017-07-31,Annual Service,BMW Stuttgart Service,0.00,TRUE,Notes: software update
13680,WBA00000000000243,2022-12-09,Oil Service,BMW Stuttgart Service,0.00,TRUE,Notes: inspection
13681,WBA00000000000242,2022-01-16,Annual Service,BMW Miami Service,293.00,FALSE,Notes: software update
13682,WBA00000000000105,2020-05-14,Brake Service,BMW Frankfurt Service,495.00,FALSE,Notes: inspection
13683,WBA00000000000029,2025-09-12,Oil Service,BMW Cologne Service,0.00,TRUE,Notes: inspection
13684,WBA00000000000088,2018-09-10,Oil Service,BMW Cologne Service,0.00,TRUE,Notes: software update
13685,WBA00000000000180,2016-10-01,Oil Service,BMW Regensburg Service,1072.00,FALSE,Notes: routine
13686,WBA00000000000079,2025-12-31,Annual Service,BMW Berlin Service,0.00,TRUE,Notes: inspection
13687,WBA00000000000012,2022-08-07,Inspection,BMW Dallas Service,229.00,FALSE,Notes: routine
13688,WBA00000000000129,2020-12-31,Oil Service,BMW Leipzig Service,1089.00,FALSE,Notes: software update
13689,WBA00000000000171,2020-04-28,Inspection,BMW New York Service,732.00,FALSE,Notes: inspection
13690,WBA00000000000213,2025-12-31,Oil Service,BMW Frankfurt Service,0.00,TRUE,Notes: routine
13691,WBA00000000000150,2025-12-31,Inspection,BMW Miami Service,1090.00,FALSE,Notes: routine
13692,WBA00000000000143,2021-08-23,Annual Service,BMW Munich Service,351.00,FALSE,Notes: routine
13693,WBA00000000000140,2023-10-23,Oil Service,BMW Chicago Service,270.00,FALSE,Notes: routine
13694,WBA00000000000268,2025-12-31,Battery Service,BMW Mexico City Service,0.00,TRUE,Notes: software update
13695,WBA00000000000019,2016-09-28,Brake Service,BMW Stuttgart Service,351.00,FALSE,Notes: software update
13696,WBA00000000000196,2025-12-31,Oil Service,BMW New York Service,0.00,TRUE,Notes: software update
13697,WBA00000000000252,2016-02-12,Oil Service,BMW Cologne Service,0.00,TRUE,Notes: software update
14091,WBA00000000000064,2023-03-04,Battery Service,BMW Leipzig Service,0.00,TRUE,Notes: software update
14092,WBA00000000000082,2025-12-31,Inspection,BMW Spartanburg Service,628.00,FALSE,Notes: routine
14093,WBA00000000000190,2021-12-01,Brake Service,BMW Cologne Service,112.00,FALSE,Notes: routine
14094,WBA00000000000035,2018-04-15,Annual Service,BMW Cologne Service,125.00,FALSE,Notes: inspection
14095,WBA00000000000044,2025-12-31,Oil Service,BMW Spartanburg Service,100.00,FALSE,Notes: software update
14096,WBA00000000000034,2018-05-26,Battery Service,BMW Leipzig Service,303.00,FALSE,Notes: inspection
14097,WBA00000000000128,2020-08-19,Inspection,BMW Chicago Service,0.00,TRUE,Notes: inspection
14098,WBA00000000000226,2025-08-15,Annual Service,BMW Leipzig Service,580.00,FALSE,Notes: routine
14119,WBA00000000000052,2023-02-07,Oil Service,BMW Frankfurt Service,685.00,FALSE,Notes: inspection
14120,WBA00000000000182,2025-12-31,Inspection,BMW Spartanburg Service,0.00,TRUE,Notes: software update
14121,WBA00000000000233,2019-12-27,Annual Service,BMW Chicago Service,1122.00,FALSE,Notes: software update
14122,WBA00000000000030,2025-12-31,Inspection,BMW Stuttgart Service,623.00,FALSE,Notes: inspection
14123,WBA00000000000054,2019-11-18,Annual Service,BMW Monterrey Service,284.00,FALSE,Notes: inspection
14124,WBA00000000000259,2024-05-22,Annual Service,BMW Frankfurt Service,492.00,FALSE,Notes: inspection
14125,WBA00000000000185,2022-05-06,Brake Service,BMW Stuttgart Service,478.00,FALSE,Notes: software update
14126,WBA00000000000299,2016-05-16,Inspection,BMW Frankfurt Service,856.00,FALSE,Notes: inspection
14127,WBA00000000000298,2025-12-31,Battery Service,BMW Stuttgart Service,926.00,FALSE,Notes: routine
14128,WBA00000000000132,2019-08-31,Inspection,BMW Hamburg Service,332.00,FALSE,Notes: inspection
14129,WBA00000000000211,2025-12-31,Oil Service,BMW Frankfurt Service,718.00,FALSE,Notes: inspection
14138,WBA00000000000264,2018-05-22,Brake Service,BMW Stuttgart Service,613.00,FALSE,Notes: software update
14139,WBA00000000000116,2025-03-25,Battery Service,BMW Cologne Service,154.00,FALSE,Notes: inspection
14140,WBA00000000000287,2021-07-16,Inspection,BMW Hamburg Service,0.00,TRUE,Notes: routine
14141,WBA00000000000145,2022-09-23,Brake Service,BMW Los Angeles Service,258.00,FALSE,Notes: software update
14142,WBA00000000000096,2024-08-30,Battery Service,BMW Dallas Service,0.00,TRUE,Notes: inspection
14143,WBA00000000000049,2017-10-10,Annual Service,BMW Cologne Service,0.00,TRUE,Notes: inspection
14144,WBA00000000000016,2018-03-13,Oil Service,BMW Chicago Service,0.00,TRUE,Notes: routine
14145,WBA00000000000054,2020-04-01,Battery Service,BMW Mexico City Service,1178.00,FALSE,Notes: routine
14146,WBA00000000000116,2025-11-15,Brake Service,BMW Berlin Service,0.00,TRUE,Notes: software update
