vin,serial_number,model,factory,engine_type,fuel_type,transmission,chassis_number,emission_standard,production_date,delivery_date,first_registration_date,mileage,fuel_consumption,accident_date,accident_type,repair_cost,service_records,recall_status_raw,previous_owners,power_output_kw,power_output_ps,owner_id,region_code,owner_country,nearest_centre_id,distance_to_nearest_centre_km
WBA00000000000300,SN160300,M2 (G87 LCI),San Luis Potosi,"I6 twin-turbo (S58, 480hp)",Petrol,Manual,CH0000050300,EURO 6e-bis,2016-09-12,2016-09-21,2016-10-03,191056,10.3,,,0.00,Up to date,,2,353,480,OWN-00090,MX,MX,SC-MTY,60
WBA00000000000054,SN170054,M2 (G87 LCI),San Luis Potosi,"I6 twin-turbo (S58, 480hp)",Petrol,Manual,CH0000050054,EURO 6e-bis,2017-10-23,2017-11-10,2017-11-08,192375,9.8,,,0.00,Up to date,,2,353,480,OWN-00091,MX,MX,SC-MTY,72
WBA00000000000196,SN250196,X7 M60i (G07 LCI),Spartanburg,"V8 twin-turbo (S68, 530hp)",Petrol,Automatic,CH0000050196,EURO 6e-bis,2025-02-26,2025-04-06,2025-04-25,730,7.5,,,0.00,Up to date,Open,0,390,530,OWN-00092,US-CTRL,US-SC,SC-SPB,170
WBA00000000000056,SN220056,X7 M60i (G07 LCI),Spartanburg,"V8 twin-turbo (S68, 530hp)",Petrol,Automatic,CH0000050056,EURO 6e-bis,2022-12-05,2022-12-17,2022-12-28,10029,9.7,,,0.00,Up to date,Open,0,390,530,OWN-00093,US-WEST,US-CA,SC-LAX,8
WBA00000000000261,SN200261,X7 M60i (G07 LCI),Spartanburg,"V8 twin-turbo (S68, 530hp)",Petrol,Automatic,CH0000050261,EURO 6e-bis,2022-01-01,2022-01-20,2022-01-28,13585,8.1,,,0.00,Up to date,Closed,2,390,530,OWN-00094,US-EAST,US-FL,SC-MIA,49
WBA00000000000231,SN230231,X7 M60i (G07 LCI),Spartanburg,"V8 twin-turbo (S68, 530hp)",Petrol,Automatic,CH0000050231,EURO 6e-bis,2023-11-05,2023-12-01,2023-11-18,95253,11.2,,,0.00,Up to date,,0,390,530,OWN-00095,US-EAST,US-MA,SC-MIA,36
WBA00000000000254,SN190254,X7 M60i (G07 LCI),Spartanburg,"V8 twin-turbo (S68, 530hp)",Petrol,Automatic,CH0000050254,EURO 6e-bis,2022-01-01,2022-02-13,2022-02-07,52106,10.5,2022-11-12,Collision,2701.00,Partial,Open,1,390,530,OWN-00024,US-CTRL,US-TX,SC-DAL,204
WBA00000000000188,SN150188,X7 M60i (G07 LCI),Spartanburg,"V8 twin-turbo (S68, 530hp)",Petrol,Automatic,CH0000050188,EURO 6e-bis,2022-01-01,2022-01-26,2022-02-22,150810,9.6,,,0.00,Partial,,0,390,530,OWN-00097,US-CTRL,US-IL,SC-CHI,118
WBA00000000000279,SN160279,XM Label Red,Spartanburg,"V8 hybrid (S68+e, 748hp)",Hybrid,Automatic,CH0000050279,EURO 6e-bis,2023-01-01,2023-01-18,2023-02-04,131291,5.0,,,0.00,Partial,,0,550,748,OWN-00046,EU-DE,DE,SC-MUN,40
WBA00000000000182,SN240182,XM Label Red,Spartanburg,"V8 hybrid (S68+e, 748hp)",Hybrid,Automatic,CH0000050182,EURO 6e-bis,2024-11-19,2024-12-14,2024-11-30,3247,5.8,,,0.00,Up to date,,1,550,748,OWN-00099,US-CTRL,US-SC,SC-SPB,61
WBA00000000000043,SN160043,1 Series 120 (F70),Leipzig,"I4 turbo (B48, 170hp)",Petrol,Automatic,CH0000050043,EURO 6e-bis,2024-01-01,2024-01-17,2024-01-19,101959,6.6,,,0.00,Partial,,3,125,170,OWN-00100,EU-WE,FR,SC-HAM,98
WBA00000000000020,SN170020,1 Series 120 (F70),Leipzig,"I4 turbo (B48, 170hp)",Petrol,Automatic,CH0000050020,EURO 6e-bis,2024-01-01,2024-01-17,2024-01-30,149309,6.1,,,0.00,Up to date,,3,125,170,OWN-00101,EU-DE,DE,SC-MUN,68
WBA00000000000016,SN160016,1 Series 120 (F70),Leipzig,"I4 turbo (B48, 170hp)",Petrol,Automatic,CH0000050016,EURO 6e-bis,2024-01-01,2024-01-22,2024-02-16,184380,5.8,,,0.00,Up to date,,3,125,170,OWN-00102,EU-DE,DE,SC-REG,14
WBA00000000000271,SN160271,XM Label Red,Spartanburg,"V8 hybrid (S68+e, 748hp)",Hybrid,Automatic,CH0000050271,EURO 6e-bis,2023-01-01,2023-01-19,2023-01-24,180058,6.3,,,0.00,Up to date,,2,550,748,OWN-00103,US-CTRL,US-IL,SC-CHI,213
WBAEXT00001,SN300001,3 Series 320i (G21 LCI),Munich,"I4 turbo (B48, 184hp)",Petrol,Automatic,CH6000001,EURO 6e-bis,2025-10-19,2025-11-20,2025-12-13,0,7.5,,,,Up to date,,0,135,184,OWN-00104,EU-WE,CH,SC-SPB,71
WBAEXT00003,SN300003,X1 xDrive23i (U11),Regensburg,"I4 turbo (B48, 218hp)",Petrol,Automatic,CH6000003,EURO 6e-bis,2025-10-27,2025-11-10,2025-11-26,0,11.2,,,,Up to date,,0,160,218,OWN-00105,EU-WE,CH,SC-HAM,105
WBAEXT00004,SN300004,X3 xDrive30i (G45),Spartanburg,"I4 turbo (B48, 245hp)",Petrol,Automatic,CH6000004,EURO 6e-bis,2025-11-03,2025-12-17,2025-11-21,0,8.3,,,,Up to date,,0,180,245,OWN-00106,US-EAST,US-GA,SC-MIA,59
WBAEXT00006,SN300006,X7 xDrive40d (G07 LCI),Spartanburg,"I6 turbo diesel (B57, 352hp)",Diesel,Automatic,CH6000006,EURO 6e-bis,2025-12-12,2025-12-24,2025-12-31,0,6.8,,,,Up to date,,0,259,352,OWN-00107,US-EAST,US-GA,SC-NYC,86
WBA5G30PHEV19B,,i5 M60 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,,Zero Emission,2023-01-01,2023-01-21,2023-02-07,11000,0.0,,,,,,,442,601,OWN-00108,EU-WE,IT,SC-STU,65
WBA5G30PHEV21D,,i5 M60 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,,Zero Emission,2023-01-01,2023-01-19,2023-02-06,4200,0.0,,,,,,,442,601,OWN-00030,US-WEST,US-CA,SC-LAX,157
WBA5G30PHEV25A,,i5 M60 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,,Zero Emission,2025-01-12,2025-02-03,2025-02-20,200,0.0,,,,,,,442,601,OWN-00110,EU-DE,DE,SC-HAM,205
WBA5G30PHEV17A,,i5 M60 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,,Zero Emission,2023-01-01,2023-01-21,2023-02-05,22000,0.0,,,,,,,442,601,OWN-00111,EU-WE,AT,SC-DAL,110
WBA5G30PHEV23E,,i5 M60 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,,Zero Emission,2023-09-10,2023-10-01,2023-10-20,1500,0.0,,,,,,,442,601,OWN-00112,EU-WE,IT,SC-DAL,92
WBA5G30PHEV23F,,i5 M60 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,,Zero Emission,2023-10-15,2023-11-02,2023-11-25,900,0.0,,,,,,,442,601,OWN-00113,EU-DE,DE,SC-FRA,53
WBA5G30PHEV20B,,i5 M60 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,,Zero Emission,2023-01-01,2023-01-22,2023-02-14,8000,0.0,,,,,,,442,601,OWN-00114,EU-DE,DE,SC-COL,35
WBA5G30PHEV19A,,i5 M60 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,,Zero Emission,2023-01-01,2023-01-27,2023-02-11,12000,0.0,,,,,,,442,601,OWN-00115,EU-DE,DE,SC-LEI,119
WBA5G30PHEV20C,,i5 M60 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,,Zero Emission,2023-01-01,2023-01-20,2023-02-08,7000,0.0,,,,,,,442,601,OWN-00116,EU-WE,NL,SC-HAM,106
WBA5G30PHEV18A,,i5 M60 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,,Zero Emission,2023-01-01,2023-01-20,2023-02-08,18000,0.0,,,,,,,442,601,OWN-00117,EU-DE,DE,SC-FRA,19
WBA5G30PHEV22E,,i5 M60 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,,Zero Emission,2023-01-01,2023-01-20,2023-02-07,2800,0.0,,,,,,,442,601,OWN-00118,EU-DE,DE,SC-STU,101
WBA5G30PHEV25B,,i5 M60 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,,Zero Emission,2025-03-05,2025-03-24,2025-04-10,120,0.0,,,,,,,442,601,OWN-00119,EU-WE,AT,SC-MTY,92
WBA5G30PHEV18B,,i5 M60 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,,Zero Emission,2023-01-01,2023-01-20,2023-02-06,16000,0.0,,,,,,,442,601,OWN-00120,EU-WE,AT,SC-CHI,39
WBA5G30PHEV22D,,i5 M60 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,,Zero Emission,2023-01-01,2023-01-18,2023-02-05,3000,0.0,,,,,,,442,601,OWN-00121,EU-DE,DE,SC-FRA,178
WBA5G30PHEV24G,,i5 M60 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,,Zero Emission,2024-03-05,2024-03-22,2024-04-12,600,0.0,,,,,,,442,601,OWN-00122,EU-DE,DE,SC-FRA,149
WBA5G30PHEV24H,,i5 M60 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,,Zero Emission,2024-06-01,2024-06-18,2024-07-05,350,0.0,,,,,,,442,601,OWN-00063,US-WEST,US-CA,SC-LAX,116
WBA5G30PHEV21C,,i5 M60 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,,Zero Emission,2023-01-01,2023-01-19,2023-02-11,4500,0.0,,,,,,,442,601,OWN-00124,EU-DE,DE,SC-MUN,165
WBA00000000000258,SN230258,i5 eDrive40 (G60),Dingolfing,Single-motor electric (Gen5),Electric,Automatic,CH0000050258,Zero Emission,2023-06-18,2023-07-11,2023-08-04,73239,0.0,,,0.00,Up to date,Closed,1,250,340,OWN-00125,EU-DE,DE,SC-COL,85
WBA00000000000199,SN150199,i5 eDrive40 (G60),Dingolfing,Single-motor electric (Gen5),Electric,Automatic,CH0000050199,Zero Emission,2023-01-01,2023-01-20,2023-01-25,112166,0.0,2023-12-19,Rear-end,668.00,Partial,,1,250,340,OWN-00126,EU-DE,DE,SC-LEI,127
WBA00000000000018,SN240018,i5 eDrive40 (G60),Dingolfing,Single-motor electric (Gen5),Electric,Automatic,CH0000050018,Zero Emission,2024-02-07,2024-03-14,2024-04-07,11702,0.0,,,0.00,Up to date,,0,250,340,OWN-00127,EU-WE,AT,SC-STU,138
WBA00000000000259,SN230259,i5 eDrive40 (G60),Dingolfing,Single-motor electric (Gen5),Electric,Automatic,CH0000050259,Zero Emission,2023-10-31,2023-11-09,2023-12-06,78958,0.0,,,0.00,Partial,,1,250,340,OWN-00128,EU-NE,GB,SC-SPB,196
WBA00000000000241,SN230241,i5 eDrive40 (G60),Dingolfing,Single-motor electric (Gen5),Electric,Automatic,CH0000050241,Zero Emission,2023-11-03,2023-11-10,2023-11-27,45880,0.0,,,0.00,Partial,,0,250,340,OWN-00129,EU-DE,DE,SC-FRA,139
WBA00000000000297,SN250297,i5 eDrive40 (G60),Dingolfing,Single-motor electric (Gen5),Electric,Automatic,CH0000050297,Zero Emission,2025-05-21,2025-07-04,2025-07-17,8051,0.0,,,0.00,Up to date,,0,250,340,OWN-00130,EU-WE,BE,SC-LEI,31
WBA00000000000155,SN220155,i5 eDrive40 (G60),Dingolfing,Single-motor electric (Gen5),Electric,Automatic,CH0000050155,Zero Emission,2023-01-01,2023-01-08,2023-02-09,105776,0.0,,,0.00,Partial,,1,250,340,OWN-00131,EU-WE,FR,SC-STU,180
WBA00000000000135,SN200135,i5 eDrive40 (G60),Dingolfing,Single-motor electric (Gen5),Electric,Automatic,CH0000050135,Zero Emission,2023-01-01,2023-01-24,2023-01-10,50948,0.0,,,0.00,Up to date,,0,250,340,OWN-00132,EU-WE,FR,SC-STU,45
WBA00000000000172,SN250172,i5 eDrive40 (G60),Dingolfing,Single-motor electric (Gen5),Electric,Automatic,CH0000050172,Zero Emission,2025-10-21,2025-10-28,2025-11-01,8951,0.0,,,0.00,Up to date,,0,250,340,OWN-00037,EU-DE,DE,SC-BER,8
WBA00000000000204,SN220204,i5 eDrive40 (G60),Dingolfing,Single-motor electric (Gen5),Electric,Automatic,CH0000050204,Zero Emission,2023-01-01,2023-02-15,2023-03-02,14579,0.0,,,0.00,Up to date,Closed,0,250,340,OWN-00134,EU-WE,BE,SC-CHI,204
WBA00000000000009,SN210009,i5 eDrive40 (G60),Dingolfing,Single-motor electric (Gen5),Electric,Automatic,CH0000050009,Zero Emission,2023-01-01,2023-01-28,2023-01-21,116982,0.0,,,0.00,Up to date,,2,250,340,OWN-00063,US-WEST,US-CA,SC-LAX,116
WBA00000000000250,SN150250,i5 eDrive40 (G60),Dingolfing,Single-motor electric (Gen5),Electric,Automatic,CH0000050250,Zero Emission,2023-01-01,2023-02-09,2023-01-25,69756,0.0,,,0.00,Partial,,2,250,340,OWN-00136,EU-WE,BE,SC-STU,191
WBA00000000000248,SN230248,i5 eDrive40 (G60),Dingolfing,Single-motor electric (Gen5),Electric,Automatic,CH0000050248,Zero Emission,2023-08-08,2023-09-13,2023-08-25,41662,0.0,2025-12-31,Collision,5708.00,Partial,,1,250,340,OWN-00137,EU-DE,DE,SC-REG,70
WBA00000000000184,SN220184,i5 eDrive40 (G60),Dingolfing,Single-motor electric (Gen5),Electric,Automatic,CH0000050184,Zero Emission,2023-01-01,2023-01-16,2023-01-17,15178,0.0,,,0.00,Up to date,Closed,2,250,340,OWN-00104,EU-WE,CH,SC-SPB,71
WBA00000000000037,SN170037,i5 eDrive40 (G60),Dingolfing,Single-motor electric (Gen5),Electric,Automatic,CH0000050037,Zero Emission,2023-01-01,2023-01-25,2023-02-28,82561,0.0,,,0.00,Partial,Closed,0,250,340,OWN-00113,EU-DE,DE,SC-FRA,53
WBA00000000000266,SN150266,i5 eDrive40 (G60),Dingolfing,Single-motor electric (Gen5),Electric,Automatic,CH0000050266,Zero Emission,2023-01-01,2023-02-15,2023-03-01,71191,0.0,,,0.00,Partial,Open,0,250,340,OWN-00140,EU-NE,GB,SC-HAM,207
WBA00000000000227,SN210227,i5 eDrive40 (G60),Dingolfing,Single-motor electric (Gen5),Electric,Automatic,CH0000050227,Zero Emission,2023-01-01,2023-02-11,2023-02-18,20420,0.0,,,0.00,Up to date,,2,250,340,OWN-00141,EU-DE,DE,SC-BER,20
WBA00000000000109,SN220109,i5 eDrive40 (G60),Dingolfing,Single-motor electric (Gen5),Electric,Automatic,CH0000050109,Zero Emission,2023-01-01,2023-01-28,2023-02-15,51671,0.0,2025-08-28,Collision,5902.00,Up to date,Open,0,250,340,OWN-00142,EU-NE,GB,SC-CHI,39
WBA00000000000095,SN180095,i5 eDrive40 (G60),Dingolfing,Single-motor electric (Gen5),Electric,Automatic,CH0000050095,Zero Emission,2023-01-01,2023-01-08,2023-01-24,134220,0.0,,,0.00,Partial,,1,250,340,OWN-00143,EU-WE,FR,SC-BER,178
WBA00000000000044,SN240044,X5 M60e (G05 LCI),Spartanburg,I6 + e-motor PHEV (Gen5),Hybrid,Automatic,CH0000050044,EURO 6e-bis,2024-07-10,2024-08-03,2024-08-03,8157,7.5,,,0.00,Up to date,,1,360,489,OWN-00144,US-CTRL,US-IL,SC-CHI,164
WBA00000000000080,SN220080,X5 M60e (G05 LCI),Spartanburg,I6 + e-motor PHEV (Gen5),Hybrid,Automatic,CH0000050080,EURO 6e-bis,2023-01-01,2023-02-03,2023-01-19,115963,6.3,,,0.00,Up to date,,2,360,489,OWN-00145,US-EAST,US-MA,SC-NYC,48
WBA00000000000104,SN210104,X5 M60e (G05 LCI),Spartanburg,I6 + e-motor PHEV (Gen5),Hybrid,Automatic,CH0000050104,EURO 6e-bis,2023-01-01,2023-01-31,2023-02-19,70050,6.3,,,0.00,Up to date,Open,0,360,489,OWN-00146,US-EAST,US-GA,SC-NYC,74
WBA00000000000150,SN240150,X5 M60e (G05 LCI),Spartanburg,I6 + e-motor PHEV (Gen5),Hybrid,Automatic,CH0000050150,EURO 6e-bis,2024-11-26,2024-12-14,2025-01-02,7629,7.5,,,0.00,Up to date,Open,0,360,489,OWN-00147,US-WEST,US-CA,SC-LAX,168
WBA00000000000059,SN150059,X5 M60e (G05 LCI),Spartanburg,I6 + e-motor PHEV (Gen5),Hybrid,Automatic,CH0000050059,EURO 6e-bis,2023-01-01,2023-01-25,2023-02-17,116127,6.1,,,0.00,Partial,Closed,1,360,489,OWN-00148,US-EAST,US-GA,SC-MIA,190
WBA00000000000085,SN150085,X5 M60e (G05 LCI),Spartanburg,I6 + e-motor PHEV (Gen5),Hybrid,Automatic,CH0000050085,EURO 6e-bis,2023-01-01,2023-01-21,2023-02-19,146044,5.0,,,0.00,Up to date,Closed,2,360,489,OWN-00149,US-WEST,US-CA,SC-LAX,89
WBA00000000000171,SN190171,X5 M60e (G05 LCI),Spartanburg,I6 + e-motor PHEV (Gen5),Hybrid,Automatic,CH0000050171,EURO 6e-bis,2023-01-01,2023-01-08,2023-01-14,27831,6.7,,,0.00,Up to date,,2,360,489,OWN-00150,US-EAST,US-NY,SC-NYC,46
WBA00000000000246,SN230246,X5 M60e (G05 LCI),Spartanburg,I6 + e-motor PHEV (Gen5),Hybrid,Automatic,CH0000050246,EURO 6e-bis,2023-11-20,2023-12-08,2023-12-17,50946,6.5,,,0.00,Up to date,,1,360,489,OWN-00151,US-EAST,US-FL,SC-MIA,24
WBA00000000000222,SN190222,X5 M60e (G05 LCI),Spartanburg,I6 + e-motor PHEV (Gen5),Hybrid,Automatic,CH0000050222,EURO 6e-bis,2023-01-01,2023-02-06,2023-02-28,111953,5.1,2026-11-30,Rear-end,3730.00,Partial,,1,360,489,OWN-00152,US-CTRL,US-IL,SC-CHI,114
WBA00000000000283,SN180283,X5 M60e (G05 LCI),Spartanburg,I6 + e-motor PHEV (Gen5),Hybrid,Automatic,CH0000050283,EURO 6e-bis,2023-01-01,2023-02-11,2023-01-19,138929,5.6,2026-05-27,Rear-end,339.00,Partial,,1,360,489,OWN-00125,EU-DE,DE,SC-COL,85
WBA00000000000012,SN200012,X5 M60e (G05 LCI),Spartanburg,I6 + e-motor PHEV (Gen5),Hybrid,Automatic,CH0000050012,EURO 6e-bis,2023-01-01,2023-02-13,2023-01-18,97484,7.4,,,0.00,Partial,Closed,1,360,489,OWN-00154,US-CTRL,US-SC,SC-SPB,130
WBA00000000000290,SN180290,X5 M60e (G05 LCI),Spartanburg,I6 + e-motor PHEV (Gen5),Hybrid,Automatic,CH0000050290,EURO 6e-bis,2023-01-01,2023-01-12,2023-02-17,89830,7.1,,,0.00,Partial,,1,360,489,OWN-00106,US-EAST,US-GA,SC-MIA,59
WBA00000000000273,SN180273,X5 M60e (G05 LCI),Spartanburg,I6 + e-motor PHEV (Gen5),Hybrid,Automatic,CH0000050273,EURO 6e-bis,2023-01-01,2023-01-24,2023-01-16,85947,5.0,2024-01-04,Minor,1037.00,Partial,,1,360,489,OWN-00156,US-EAST,US-MA,SC-NYC,145
WBA00000000000214,SN150214,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050214,EURO 6e-bis,2019-01-01,2019-02-10,2019-02-17,60010,7.0,,,0.00,Up to date,,1,190,258,OWN-00157,EU-WE,NL,SC-SPB,162
WBA00000000000203,SN180203,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050203,EURO 6e-bis,2019-01-01,2019-01-11,2019-01-28,239958,11.0,2020-10-14,Minor,4538.00,Up to date,,0,190,258,OWN-00158,EU-DE,DE,SC-STU,77
WBA00000000000226,SN240226,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050226,EURO 6e-bis,2024-11-08,2024-11-22,2024-12-10,601,7.1,,,0.00,Partial,,0,190,258,OWN-00159,EU-DE,DE,SC-REG,94
WBA00000000000071,SN170071,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050071,EURO 6e-bis,2019-01-01,2019-01-11,2019-02-14,69481,9.7,,,0.00,Partial,,2,190,258,OWN-00160,EU-WE,FR,SC-REG,193
WBA00000000000195,SN210195,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050195,EURO 6e-bis,2021-03-02,2021-03-22,2021-04-17,83935,6.5,,,0.00,Up to date,,0,190,258,OWN-00161,EU-DE,DE,SC-MUN,167
WBA00000000000115,SN250115,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050115,EURO 6e-bis,2025-01-05,2025-01-13,2025-02-05,10236,7.3,2025-12-31,Rear-end,5022.00,Partial,Closed,1,190,258,OWN-00162,EU-DE,DE,SC-COL,29
WBA00000000000123,SN170123,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050123,EURO 6e-bis,2019-01-01,2019-01-22,2019-01-16,193331,6.9,,,0.00,Up to date,Open,1,190,258,OWN-00163,EU-DE,DE,SC-BER,54
WBA00000000000040,SN170040,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050040,EURO 6e-bis,2019-01-01,2019-02-02,2019-01-11,167535,8.8,,,0.00,Partial,,3,190,258,OWN-00114,EU-DE,DE,SC-COL,35
WBA00000000000100,SN220100,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050100,EURO 6e-bis,2022-05-21,2022-06-23,2022-07-13,15119,11.4,,,0.00,Partial,,1,190,258,OWN-00165,EU-DE,DE,SC-LEI,94
WBA00000000000149,SN230149,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050149,EURO 6e-bis,2023-07-21,2023-08-31,2023-08-25,118053,7.0,,,0.00,Up to date,,1,190,258,OWN-00166,EU-DE,DE,SC-FRA,200
WBA00000000000067,SN180067,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050067,EURO 6e-bis,2019-01-01,2019-02-07,2019-01-17,173931,6.9,,,0.00,Partial,,1,190,258,OWN-00167,EU-DE,DE,SC-FRA,28
WBA00000000000211,SN250211,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050211,EURO 6e-bis,2025-01-14,2025-02-26,2025-03-05,8667,7.8,,,0.00,Up to date,Open,1,190,258,OWN-00168,EU-WE,CH,SC-DAL,21
WBA00000000000124,SN170124,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050124,EURO 6e-bis,2019-01-01,2019-02-06,2019-02-04,131903,7.7,,,0.00,Up to date,Open,1,190,258,OWN-00169,EU-DE,DE,SC-STU,174
WBA00000000000126,SN240126,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050126,EURO 6e-bis,2024-12-06,2024-12-16,2025-01-29,11816,11.2,,,0.00,Partial,Open,1,190,258,OWN-00013,EU-DE,DE,SC-BER,145
WBA00000000000298,SN250298,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050298,EURO 6e-bis,2025-02-08,2025-02-15,2025-02-24,1706,11.5,,,0.00,Up to date,,0,190,258,OWN-00171,EU-DE,DE,SC-STU,13
WBA00000000000161,SN150161,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050161,EURO 6e-bis,2019-01-01,2019-01-30,2019-01-31,124597,9.5,,,0.00,Up to date,,0,190,258,OWN-00172,EU-DE,DE,SC-MUN,129
WBA00000000000186,SN170186,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050186,EURO 6e-bis,2019-01-01,2019-02-02,2019-01-16,91125,11.1,,,0.00,Partial,Closed,0,190,258,OWN-00173,EU-WE,BE,SC-STU,127
WBA00000000000094,SN200094,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050094,EURO 6e-bis,2020-03-25,2020-04-07,2020-04-18,101997,7.9,,,0.00,Partial,Open,1,190,258,OWN-00174,EU-WE,FR,SC-LEI,50
WBA00000000000281,SN240281,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050281,EURO 6e-bis,2024-10-19,2024-11-07,2024-11-09,10486,10.3,,,0.00,Up to date,,0,190,258,OWN-00175,EU-WE,CH,SC-LAX,37
WBA00000000000084,SN210084,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050084,EURO 6e-bis,2021-02-19,2021-03-10,2021-04-10,95225,7.5,,,0.00,Partial,Closed,1,190,258,OWN-00176,EU-DE,DE,SC-FRA,35
WBA00000000000049,SN160049,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050049,EURO 6e-bis,2019-01-01,2019-02-06,2019-02-06,159777,10.4,,,0.00,Up to date,Closed,2,190,258,OWN-00177,EU-DE,DE,SC-REG,109
WBA00000000000191,SN190191,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050191,EURO 6e-bis,2019-02-15,2019-03-14,2019-03-29,87398,7.1,,,0.00,Up to date,Open,0,190,258,OWN-00178,EU-DE,DE,SC-HAM,159
WBA00000000000257,SN200257,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050257,EURO 6e-bis,2020-10-21,2020-10-28,2020-11-11,97967,8.0,,,0.00,Up to date,Closed,2,190,258,OWN-00179,EU-WE,AT,SC-STU,34
WBA00000000000029,SN240029,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050029,EURO 6e-bis,2024-03-20,2024-04-03,2024-05-16,5358,7.7,,,0.00,Up to date,,0,190,258,OWN-00180,EU-DE,DE,SC-HAM,211
WBA00000000000069,SN180069,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050069,EURO 6e-bis,2019-01-01,2019-01-19,2019-02-10,179993,8.1,,,0.00,Up to date,,2,190,258,OWN-00181,EU-WE,FR,SC-COL,96
WBA00000000000154,SN250154,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050154,EURO 6e-bis,2025-01-03,2025-02-07,2025-02-17,144,8.3,,,0.00,Partial,Open,1,190,258,OWN-00182,EU-WE,AT,SC-LEI,25
WBA00000000000179,SN230179,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050179,EURO 6e-bis,2023-03-15,2023-04-28,2023-04-15,59042,8.8,,,0.00,Up to date,Closed,0,190,258,OWN-00183,EU-DE,DE,SC-COL,115
WBA00000000000030,SN250030,3 Series 330i (G21 LCI),Munich,I4 turbo (B48),Petrol,Automatic,CH0000050030,EURO 6e-bis,2025-10-19,2025-11-20,2025-12-13,7727,7.5,,,0.00,Up to date,,0,190,258,OWN-00184,EU-DE,DE,SC-REG,100
WBA00000000000262,SN180262,i7 M70 xDrive,Dingolfing,Dual-motor electric (Gen5),Electric,Automatic,CH0000050262,Zero Emission,2023-01-01,2023-02-08,2023-02-14,116784,0.0,2025-08-22,Minor,3421.00,Partial,Closed,1,485,660,OWN-00185,EU-WE,IT,SC-BER,189
